,Modell_Segment_Raw,Gefundenes_Segment
0,A3 allstreet 40 TFSI e S tronic (Kompaktklasse),Kompaktklasse
1,A3 allstreet 35 TFSI (Kompaktklasse),Kompaktklasse
2,A3 allstreet 35 TDI S tronic (Kompaktklasse),Kompaktklasse
3,A3 Sportback 40 TFSI e S tronic (Kompaktklasse),Kompaktklasse
4,A3 Sportback 30 TFSI (Kompaktklasse),Kompaktklasse
5,A3 Sportback 30 TDI (Kompaktklasse),Kompaktklasse
6,A6 Sportback e-tron (Obere Mittelklasse),Obere Mittelklasse
7,S5 Limousine 3.0 V6 TFSI MHEV plus S tronic (Mittelklasse),Mittelklasse
8,A5 Limousine 2.0 TDI MHEV plus S tronic (Mittelklasse),Mittelklasse
9,A6 Sportback e-tron performance (Obere Mittelklasse),Obere Mittelklasse
10,A8 60 TFSI e quattro tiptronic (Oberklasse),Oberklasse
11,A8 55 TFSI quattro tiptronic (Oberklasse),Oberklasse
12,A8 50 TDI quattro tiptronic (Oberklasse),Oberklasse
13,Q4 40 e-tron (Kompakt-SUV),Kompakt-SUV
14,Q5 2.0 TFSI MHEV plus S tronic (Mittelklasse-SUV),Mittelklasse-SUV
15,Q5 2.0 TDI MHEV plus quattro S tronic (Mittelklasse-SUV),Mittelklasse-SUV
16,Q4 45 e-tron (Kompakt-SUV),Kompakt-SUV
17,Q4 Sportback 40 e-tron (Kompakt-SUV),Kompakt-SUV
18,Q4 Sportback 45 e-tron (Kompakt-SUV),Kompakt-SUV
19,Q5 Sportback 2.0 TFSI MHEV plus S tronic (Mittelklasse-SUV),Mittelklasse-SUV
20,Q6 e-tron (Obere Mittelklasse-SUV),Obere Mittelklasse-SUV
21,Q7 55 TFSI quattro tiptronic (5-Sitzer) (Oberklasse-SUV),Oberklasse-SUV
22,Q7 45 TDI quattro tiptronic (5-Sitzer) (Oberklasse-SUV),Oberklasse-SUV
23,Q6 e-tron performance (Obere Mittelklasse-SUV),Obere Mittelklasse-SUV
24,Q6 Sportback e-tron (Obere Mittelklasse-SUV),Obere Mittelklasse-SUV
25,Q6 Sportback e-tron performance (Obere Mittelklasse-SUV),Obere Mittelklasse-SUV
26,Q7 55 TFSI e quattro tiptronic (5-Sitzer) (Oberklasse-SUV),Oberklasse-SUV
27,Q8 55 TFSI e quattro tiptronic (Oberklasse-SUV),Oberklasse-SUV
28,Q8 55 TFSI quattro tiptronic (Oberklasse-SUV),Oberklasse-SUV
29,Q8 45 TDI quattro tiptronic (Oberklasse-SUV),Oberklasse-SUV
30,S e-tron GT quattro (Sportwagen / Coupé),Sportwagen / Coupé
31,S6 Avant e-tron quattro (Obere Mittelklasse (Performance Kombi)),Obere Mittelklasse (Performance Kombi)
32,RS6 Avant tiptronic (Obere Mittelklasse (Performance Kombi)),Obere Mittelklasse (Performance Kombi)
33,S6 Sportback e-tron quattro (Obere Mittelklasse),Obere Mittelklasse
34,SQ6 e-tron quattro (Obere Mittelklasse-SUV),Obere Mittelklasse-SUV
35,SQ6 Sportback e-tron quattro (Obere Mittelklasse-SUV),Obere Mittelklasse-SUV
36,D3 S Touring Allrad Switch-Tronic (Obere Mittelklasse),Obere Mittelklasse
37,D4 S Gran Coupé Allrad Switch-Tronic (Obere Mittelklasse),Obere Mittelklasse
38,XD4 Switch-Tronic (Mittelklasse-SUV),Mittelklasse-SUV
39,225e Active Tourer xDrive Steptronic (DKG) (Kompaktvan),Kompaktvan
40,216i Active Tourer Steptronic (DKG) (Kompaktvan),Kompaktvan
41,218d Active Tourer Steptronic (DKG) (Kompaktvan),Kompaktvan
42,330e Steptronic (Mittelklasse),Mittelklasse
43,318i Steptronic (Mittelklasse),Mittelklasse
44,318d Steptronic (Mittelklasse),Mittelklasse
45,330e Touring Steptronic (Mittelklasse),Mittelklasse
46,318i Touring Steptronic (Mittelklasse),Mittelklasse
47,318d Touring Steptronic (Mittelklasse),Mittelklasse
48,530e Steptronic (Obere Mittelklasse),Obere Mittelklasse
49,520i Steptronic (Obere Mittelklasse),Obere Mittelklasse
50,520d Steptronic (Obere Mittelklasse),Obere Mittelklasse
51,530e Touring Steptronic (Obere Mittelklasse),Obere Mittelklasse
52,520i Touring Steptronic (Obere Mittelklasse),Obere Mittelklasse
53,520d Touring Steptronic (Obere Mittelklasse),Obere Mittelklasse
54,550e Touring xDrive Steptronic (Obere Mittelklasse),Obere Mittelklasse
55,M340i Touring xDrive Steptronic Sport (Mittelklasse),Mittelklasse
56,M340d Touring xDrive Steptronic Sport (Mittelklasse),Mittelklasse
57,550e xDrive Steptronic (Obere Mittelklasse),Obere Mittelklasse
58,M340i xDrive Steptronic Sport (Mittelklasse),Mittelklasse
59,M340d xDrive Steptronic Sport (Mittelklasse),Mittelklasse
60,750e Design Pure Excellence xDrive Steptronic Sport (Oberklasse),Oberklasse
61,740d Design Pure Excellence xDrive Steptronic Sport (Oberklasse),Oberklasse
62,i4 eDrive35 (Obere Mittelklasse (Coupé/Gran Coupé)),Obere Mittelklasse (Coupé/Gran Coupé)
63,420i Gran Coupé Steptronic (Obere Mittelklasse (Coupé/Gran Coupé)),Obere Mittelklasse (Coupé/Gran Coupé)
64,420d Gran Coupé Steptronic (Obere Mittelklasse (Coupé/Gran Coupé)),Obere Mittelklasse (Coupé/Gran Coupé)
65,i4 eDrive40 (Obere Mittelklasse (Coupé/Gran Coupé)),Obere Mittelklasse (Coupé/Gran Coupé)
66,i4 M50 (Obere Mittelklasse (Coupé/Gran Coupé)),Obere Mittelklasse (Coupé/Gran Coupé)
67,M440i Gran Coupé xDrive Steptronic Sport (Obere Mittelklasse (Coupé/Gran Coupé)),Obere Mittelklasse (Coupé/Gran Coupé)
68,i4 xDrive40 (Obere Mittelklasse (Coupé/Gran Coupé)),Obere Mittelklasse (Coupé/Gran Coupé)
69,i5 eDrive40 (Obere Mittelklasse),Obere Mittelklasse
70,i5 M60 xDrive (Obere Mittelklasse),Obere Mittelklasse
71,M3 (Mittelklasse),Mittelklasse
72,i5 Touring eDrive40 (Obere Mittelklasse),Obere Mittelklasse
73,i5 Touring M60 xDrive (Obere Mittelklasse),Obere Mittelklasse
74,M3 Competition Touring M xDrive Steptronic (Mittelklasse),Mittelklasse
75,i7 eDrive50 Design Pure Excellence (Oberklasse),Oberklasse
76,iX M70 xDrive (Oberklasse-SUV),Oberklasse-SUV
77,iX xDrive45 (Oberklasse-SUV),Oberklasse-SUV
78,X5 xDrive40i Steptronic Sport (Oberklasse-SUV),Oberklasse-SUV
79,X5 xDrive30d Steptronic Sport (Oberklasse-SUV),Oberklasse-SUV
80,iX xDrive60 (Oberklasse-SUV),Oberklasse-SUV
81,X6 xDrive40i M Sportpaket Steptronic Sport (Oberklasse-SUV (Coupé)),Oberklasse-SUV (Coupé)
82,X7 xDrive40d Steptronic Sport (Oberklasse-SUV),Oberklasse-SUV
83,iX1 eDrive20 (Kompakt-SUV),Kompakt-SUV
84,X2 sDrive20i Steptronic (DKG) (Kompakt-SUV (Coupé)),Kompakt-SUV (Coupé)
85,X2 sDrive18d Steptronic (DKG) (Kompakt-SUV (Coupé)),Kompakt-SUV (Coupé)
86,iX2 eDrive20 (Kompakt-SUV (Coupé)),Kompakt-SUV (Coupé)
87,iX3 Inspiring (Mittelklasse-SUV),Mittelklasse-SUV
88,X4 xDrive20i Steptronic (Mittelklasse-SUV (Coupé)),Mittelklasse-SUV (Coupé)
89,X4 xDrive20d Steptronic (Mittelklasse-SUV (Coupé)),Mittelklasse-SUV (Coupé)
90,M5 Touring xDrive Steptronic (Obere Mittelklasse (Performance Kombi)),Obere Mittelklasse (Performance Kombi)
91,X1 xDrive25e Steptronic (DKG) (Kompakt-SUV),Kompakt-SUV
92,X1 sDrive18i Steptronic (DKG) (Kompakt-SUV),Kompakt-SUV
93,X1 sDrive18d Steptronic (DKG) (Kompakt-SUV),Kompakt-SUV
94,X3 30e xDrive Steptronic (Mittelklasse-SUV),Mittelklasse-SUV
95,X3 20i xDrive Steptronic (Mittelklasse-SUV),Mittelklasse-SUV
96,X3 20d xDrive Steptronic (Mittelklasse-SUV),Mittelklasse-SUV
97,X5 xDrive50e Steptronic Sport (Oberklasse-SUV),Oberklasse-SUV
98,C5 Aircross Plug-In-Hybrid 225 Stop&Start Plus e-EAT8 (Kompakt-SUV),Kompakt-SUV
99,C4 PureTech 130 Plus EAT8 (Kompaktklasse),Kompaktklasse
100,C5 Aircross BlueHDi 130 Stop&Start Max EAT8 (Kompakt-SUV),Kompakt-SUV
101,e-Berlingo M Plus (Hochdachkombi / Kompaktvan),Hochdachkombi / Kompaktvan
102,e-C3 Aircross You (Kleinwagen-SUV),Kleinwagen-SUV
103,C3 Aircross Turbo 100 You (Kleinwagen-SUV),Kleinwagen-SUV
104,e-C3 You (Kleinwagen),Kleinwagen
105,C3 Turbo 100 You (Kleinwagen),Kleinwagen
106,e-C4 136 You (Kompaktklasse),Kompaktklasse
107,e-C4 156 Plus (Kompaktklasse),Kompaktklasse
108,e-C4 X 136 You (Kompaktklasse (Crossover)),Kompaktklasse (Crossover)
109,e-C4 X 156 Plus (Kompaktklasse (Crossover)),Kompaktklasse (Crossover)
110,e-Jumpy Kombi M (50 kWh) (Van),Van
111,e-Spacetourer M (50 kWh) Plus (Van),Van
112,Born (60 kWh) (Kompaktklasse),Kompaktklasse
113,Leon VZ 2.0 TSI DSG (Kompaktklasse),Kompaktklasse
114,Leon 2.0 TDI DSG (Kompaktklasse),Kompaktklasse
115,Born (77 kWh) (Kompaktklasse),Kompaktklasse
116,Born VZ (Kompaktklasse (Performance)),Kompaktklasse (Performance)
117,Formentor 1.5 e-HYBRID DSG (Kompakt-SUV (Coupé-SUV)),Kompakt-SUV (Coupé-SUV)
118,Formentor 1.5 TSI (Kompakt-SUV (Coupé-SUV)),Kompakt-SUV (Coupé-SUV)
119,Formentor 2.0 TDI DSG (Kompakt-SUV (Coupé-SUV)),Kompakt-SUV (Coupé-SUV)
120,Leon 1.5 e-HYBRID DSG (Kompaktklasse),Kompaktklasse
121,Leon Sportstourer 1.5 e-HYBRID DSG (Kompaktklasse),Kompaktklasse
122,Leon Sportstourer VZ 2.0 TSI 4Drive DSG (Kompaktklasse (Performance Kombi)),Kompaktklasse (Performance Kombi)
123,Leon Sportstourer 2.0 TDI DSG (Kompaktklasse),Kompaktklasse
124,Tavascan Endurance (Mittelklasse-SUV (Coupé-SUV)),Mittelklasse-SUV (Coupé-SUV)
125,Ateca 1.5 TSI DSG (Kompakt-SUV),Kompakt-SUV
126,Terramar 1.5 e-HYBRID DSG (Kompakt-SUV),Kompakt-SUV
127,Terramar 1.5 ETSI DSG (Kompakt-SUV),Kompakt-SUV
128,Spring Electric 45 Essential (Kleinstwagen),Kleinstwagen
129,DS 3 E-Tense Pallas (Kleinwagen-SUV),Kleinwagen-SUV
130,DS 3 MHEV 136 Pallas eDCT-6 (Kleinwagen-SUV),Kleinwagen-SUV
131,DS 4 Plug-in-Hybrid 225 Pallas Automatik (Kompaktklasse),Kompaktklasse
132,DS 4 Hybrid 136 Pallas eDCT-6 (Kompaktklasse),Kompaktklasse
133,DS 4 BlueHDi 130 Pallas Automatik (Kompaktklasse),Kompaktklasse
134,DS 7 E-Tense 225 Pallas Automatik (Kompakt-SUV),Kompakt-SUV
135,DS 7 BlueHDi 130 Pallas Automatik (Kompakt-SUV),Kompakt-SUV
136,"500e (23,8 kWh) RED (Kleinstwagen)",Kleinstwagen
137,500e (42 kWh) RED (Kleinstwagen),Kleinstwagen
138,"500e 3+1 (23,8 kWh) RED (Kleinstwagen)",Kleinstwagen
139,Pandina 1.0 GSE Hybrid Cross (Kleinstwagen),Kleinstwagen
140,500e 3+1 (42 kWh) RED (Kleinstwagen),Kleinstwagen
141,"500e Cabrio (23,8 kWh) RED (Kleinstwagen)",Kleinstwagen
142,500e Cabrio (42 kWh) RED (Kleinstwagen),Kleinstwagen
143,600e RED (Kleinwagen-SUV),Kleinwagen-SUV
144,Capri Extended Range (77 kWh) Premium (Kompakt-SUV (Coupé-SUV)),Kompakt-SUV (Coupé-SUV)
145,Capri Extended Range (79 kWh) Premium AWD (Kompakt-SUV (Coupé-SUV)),Kompakt-SUV (Coupé-SUV)
146,Capri Standard Range (52 kWh) Premium (Kompakt-SUV (Coupé-SUV)),Kompakt-SUV (Coupé-SUV)
147,Explorer EV Extended Range (77 kWh) Premium (Mittelklasse-SUV),Mittelklasse-SUV
148,Explorer EV Extended Range (79 kWh) Premium AWD (Mittelklasse-SUV),Mittelklasse-SUV
149,Explorer EV Standard Range (52 kWh) Premium (Mittelklasse-SUV),Mittelklasse-SUV
150,Kuga 2.5 PHEV Titanium CVT (Kompakt-SUV),Kompakt-SUV
151,Kuga 1.5 EcoBoost Titanium (Kompakt-SUV),Kompakt-SUV
152,Kuga Active 2.5 PHEV CVT (Kompakt-SUV),Kompakt-SUV
153,Kuga Active 2.5 FHEV CVT (Kompakt-SUV),Kompakt-SUV
154,Mustang Mach-E Extended Range Premium (Mittelklasse-SUV (Performance-Crossover)),Mittelklasse-SUV (Performance-Crossover)
155,Mustang Mach-E Rally (Mittelklasse-SUV (Performance-Crossover)),Mittelklasse-SUV (Performance-Crossover)
156,Mustang Mach-E Standard Range (Mittelklasse-SUV (Performance-Crossover)),Mittelklasse-SUV (Performance-Crossover)
157,Puma Gen-E (Kleinwagen-SUV),Kleinwagen-SUV
158,Tourneo Connect 1.5 EcoBoost PHEV Trend Automatik (Hochdachkombi / Kompaktvan),Hochdachkombi / Kompaktvan
159,Tourneo Connect 1.5 EcoBoost Trend (Hochdachkombi / Kompaktvan),Hochdachkombi / Kompaktvan
160,CR-V 2.0 i-MMD e:PHEV Advance Tech 2WD e-CVT (Kompakt-SUV),Kompakt-SUV
161,CR-V 2.0 i-MMD e:HEV Elegance 2WD e-CVT (Kompakt-SUV),Kompakt-SUV
162,e:Ny1 (Kompakt-SUV),Kompakt-SUV
163,ZR-V 2.0 i-MMD e:HEV Elegance (Kompakt-SUV),Kompakt-SUV
164,Inster (42 kWh) Select (Kleinstwagen),Kleinstwagen
165,Bayon 1.0 T-GDI Select (Kleinwagen-SUV),Kleinwagen-SUV
166,Inster (49 kWh) Select (Kleinstwagen),Kleinstwagen
167,IONIQ 5 (63 kWh) 2WD (Mittelklasse-Crossover (SUV-ähnlich)),Mittelklasse-Crossover (SUV-ähnlich)
168,IONIQ 5 (84 kWh) DYNAMIQ 2WD (Mittelklasse-Crossover (SUV-ähnlich)),Mittelklasse-Crossover (SUV-ähnlich)
169,IONIQ 5 N (Performance-Crossover (SUV-ähnlich)),Performance-Crossover (SUV-ähnlich)
